seed,K,M,mv,isp,gap
1075,6,10000,0.9417,0.9553,0.013600000000000056
1076,6,10000,0.9393,0.9544,0.015100000000000002
1077,6,10000,0.9427,0.9581,0.01539999999999997
1078,6,10000,0.9399,0.9539,0.014000000000000012
1079,6,10000,0.9369,0.9567,0.01980000000000004
1080,6,10000,0.9393,0.956,0.016699999999999937
1081,6,10000,0.9446,0.9603,0.015700000000000047
1082,6,10000,0.9349,0.9489,0.014000000000000012
1083,6,10000,0.9376,0.9523,0.014700000000000046
1084,6,10000,0.941,0.9562,0.015200000000000102
1085,6,10000,0.9401,0.9578,0.017699999999999938
1086,6,10000,0.9422,0.9545,0.012299999999999978
1087,6,10000,0.9423,0.9587,0.01639999999999997
1088,6,10000,0.9405,0.9529,0.012399999999999967
1000,8,10000,0.9498,0.9602,0.010400000000000076
1001,8,10000,0.9496,0.9612,0.011600000000000055
1002,8,10000,0.9454,0.9597,0.01429999999999998
1003,8,10000,0.9468,0.9608,0.014000000000000012
1004,8,10000,0.95,0.9616,0.011600000000000055
1005,8,10000,0.9505,0.964,0.013499999999999956
1006,8,10000,0.9494,0.9618,0.012399999999999967
1007,8,10000,0.9493,0.9649,0.015599999999999947
1008,8,10000,0.9502,0.9625,0.012299999999999978
1009,8,10000,0.9498,0.9596,0.009800000000000031
1010,8,10000,0.9454,0.9597,0.01429999999999998
1011,8,10000,0.9521,0.9621,0.010000000000000009
1012,8,10000,0.9449,0.9617,0.016800000000000037
1013,8,10000,0.9463,0.9601,0.013799999999999923
1014,8,10000,0.9475,0.9617,0.01419999999999999
1015,8,10000,0.9453,0.9616,0.01629999999999998
1016,8,10000,0.9463,0.9606,0.01429999999999998
1017,8,10000,0.9481,0.9592,0.011099999999999999
1018,8,10000,0.9474,0.9644,0.017000000000000015
1019,8,10000,0.9488,0.9614,0.012600000000000056
1020,8,10000,0.9497,0.9619,0.012199999999999989
1021,8,10000,0.9458,0.959,0.01319999999999999
1022,8,10000,0.945,0.957,0.01200000000000001
1023,8,10000,0.9499,0.9614,0.011500000000000066
1024,8,10000,0.9474,0.9603,0.012900000000000023
1025,8,10000,0.948,0.959,0.01100000000000001
1026,8,10000,0.9455,0.9595,0.014000000000000012
1027,8,10000,0.9474,0.9589,0.011499999999999955
